problemID,email,dateRaised,description,rating,completed
101,cwhi9221@email.net,07/07/2022,Blocked access to social media / video sharing sites. Can this be fixed so I can show customers our promotional videos and content?,4,1
102,fbr530@email.net,07/07/2022,I can't open a new spreadsheet file or edit any old ones. The software logo opens but my screen freezes.,4,1
103,cwhi9221@email.net,07/07/2022,Computer is taking ages to start up in the morning. I can't get any work done till after 10.,3,1
104,fbr530@email.net,07/07/2022,The printer won't connect. I am unable to print.,1,0
105,cwhi9221@email.net,07/07/2022,My monitor cable is to short - it keeps popping out when I am showing customers my computer screen.,4,0
106,fbr530@email.net,07/07/2022,I can't access the Internet.,1,0
107,ctat1313@email.net,07/07/2022,Blocked access to social media. Can you unblock please?,4,0
108,ctat1313@email.net,07/07/2022,I entered my right password in 3 times but now I am locked out. Can you unlock?,1,1
109,lgib6863@email.net,07/07/2022,Printer jammed. Not sure how to fix it. I cant see any paper in the tray.,2,0
110,ctat1313@email.net,07/07/2022,Mouse keeps sticking.,4,0
111,fbr530@email.net,07/07/2022,SomAonA hEs swEppAd my E and A kAys on thA kAyboErd Et my dAsk. CEn I hEvA E nAw onA?,2,0
112,eliv123@email.net,07/07/2022,"Help! My computer has a virus! I opened an email attachment and now it is asking for bitcoins, but I only have pound coins!",1,0
113,ctat1313@email.net,07/07/2022,I put my elbow on the keyboard and now my screen is upside down. How to change back?,1,1
114,lgib6863@email.net,07/07/2022,I think I clicked a phishing link on my email. Does my computer have a virus?? Sometimes I see my screen flickering throughout the day.,2,0
115,lgib6863@email.net,07/07/2022,I can't remember the password to access the staff rota spreadsheet. Can you remind me of the password?,3,1
116,eliv123@email.net,07/07/2022,The internet is not working. I can't watch the training video my boss sent me to watch.,3,0
117,lgib6863@email.net,07/07/2022,HELP!!! I sent an email complaining about my boss ** to my boss **!! Can you delete it before they open and read it?!,4,1
118,ctat1313@email.net,08/07/2022,There is a single dead pixel on my screen - it's very annoying! Can you come and fix it?,4,0
119,eliv123@email.net,08/07/2022,Antivirus and firewall update warning appeared on my screen.,1,0
120,cwhi9221@email.net,08/07/2022,I tried to move my desk but the network cable is too short. Can I have a longer cable or the password for WiFi?,4,0
121,dzha676@email.com,08/07/2022,My phone won't connect to my laptop.,3,0
122,dzha676@email.com,08/07/2022,My email box is full.  Can I have more storage please?,1,1
123,jiva910@email.com,08/07/2022,I can't download an email attachment.,1,0
124,smcp485@email.com,08/07/2022,My web cam image is not clear.,2,1
125,pcho887@email.com,08/07/2022,I can't adjust the microphone volume on my headset.,2,1
126,ebla652@email.com,08/07/2022,Can't access my network folder.,1,0
127,awan966@email.com,08/07/2022,My docking station is not charging my laptop,2,1
128,lhe259@email.com,08/07/2022,Can't access my network folder.,1,0
129,lbao150@email.com,08/07/2022,Could you reset my password please.,1,1
130,jpat108@email.com,08/07/2022,I can't download an email attachment.,1,1
131,asta104@email.com,08/07/2022,I have a suspicious email.  Can you warn others about it.,1,1
132,hlei381@email.com,08/07/2022,I can't get my blueTooth headphones to connect.,2,0
133,zmin412@email.com,08/07/2022,I can't access the Internet.,1,1
134,rker495@email.com,08/07/2022,Can't access my network folder.,1,1
135,ujar162@email.com,08/07/2022,My email box is full.  Can I have more storage please?,1,1
136,lgon902@email.com,08/07/2022,I can't download an email attachment.,1,0
137,pmck621@email.com,08/07/2022,My phone won't connect to my laptop.,2,1
138,dnel258@email.com,08/07/2022,My speakers aren't working.,3,1
139,lxie524@email.com,10/07/2022,Can't access my network folder.,1,1
140,dmia463@email.com,10/07/2022,Can't access my network folder.,1,1
141,hgar508@email.com,10/07/2022,Could you reset my password please.,1,0
142,gfly340@email.com,10/07/2022,My speakers aren't working.,3,1
143,jrob313@email.com,10/07/2022,My web cam image is not clear.,3,0
144,scoh580@email.com,10/07/2022,My speakers aren't working.,2,1
145,jcoo567@email.com,10/07/2022,I can't adjust the microphone volume on my headset.,2,1
146,dper537@email.com,10/07/2022,My email box is full.  Can I have more storage please?,1,1
147,tmar516@email.com,10/07/2022,Loss of Internet access.,1,1
148,adav330@email.com,10/07/2022,The text on my screen is too small.,1,1
149,hlei381@email.com,10/07/2022,My docking station is not charging my laptop,3,0
150,ihun275@email.com,10/07/2022,I have a suspicious email.  Can you warn others about it.,1,1
151,nbun949@email.com,10/07/2022,I have a suspicious email.  Can you warn others about it.,1,1
152,sdan629@email.com,10/07/2022,My email box is full.  Can I have more storage please?,1,1
153,lxie552@email.com,11/07/2022,I can't get my dual screens to show different images.,1,1
154,cmck244@email.com,11/07/2022,My email box is full.  Can I have more storage please?,1,1
155,sdan629@email.com,11/07/2022,My docking station is not charging my laptop,2,1
156,aspe821@email.com,11/07/2022,My files are not backing up to the cloud anymore.,1,0
157,akar563@email.com,11/07/2022,My phone won't connect to my laptop.,2,1
158,nhen951@email.com,11/07/2022,I can't get my dual screens to show different images.,1,1
159,wtwi204@email.com,11/07/2022,Loss of Internet access.,1,1
160,jchr951@email.com,11/07/2022,I can't download an email attachment.,1,0
161,rbur971@email.com,11/07/2022,My computer can't see the network printer.,1,1
162,wtwi204@email.com,11/07/2022,My web cam image is not clear.,3,1
163,wtwi204@email.com,11/07/2022,The text on my screen is too small.,1,1
164,jchr951@email.com,11/07/2022,My web cam image is not clear.,2,1
165,lgra552@email.com,11/07/2022,My web cam image is not clear.,3,1
166,qlin667@email.com,12/07/2022,My speakers aren't working.,2,1
167,tric552@email.com,12/07/2022,My phone won't connect to my laptop.,3,0
168,lxie552@email.com,12/07/2022,My web cam image is not clear.,2,0
169,akar563@email.com,13/07/2022,My web cam picture is blank.,2,1
170,mhum863@email.com,13/07/2022,My docking station is not charging my laptop,2,1
171,jwhi684@email.com,13/07/2022,I can't download an email attachment.,1,1
172,tmcl764@email.com,13/07/2022,My mouse button doesn't work.,1,1
173,lbao150@email.com,13/07/2022,Loss of Internet access.,1,1
174,jmag670@email.com,13/07/2022,My files are not backing up to the cloud anymore.,1,1
175,dsob768@email.com,13/07/2022,My web cam picture is blank.,3,0
176,gmcc411@email.com,13/07/2022,My docking station is not charging my laptop,3,0
177,dmid559@email.com,13/07/2022,The text on my screen is too small.,1,1
178,kbry100@email.com,13/07/2022,Could you reset my password please.,1,0
179,yxue296@email.com,13/07/2022,Can't access my network folder.,1,1
