registration,clubName,forename,surname,mobileNo,dateOfBirth,position,shirtNumber
108818,North Berwick Hearts,Cecelia,Carter,07652 315225,07/03/2004,Striker,13
109711,Aberdeen Angels,Lee,Alexander,07832 461398,05/05/1996,Striker,12
110877,Aberdeen Angels,Lenora,Pena,07162 739504,28/06/1999,Defender,3
111399,North Berwick Hearts,Leta,Ellison,07705 254697,04/02/1993,Goalkeeper,20
112000,Paisley City,Janna,Phillips,07278 215981,25/10/2004,Striker,12
112472,Glasgow Flyers,Fanny,Cuevas,07404 123379,04/12/2004,Striker,12
120485,North Berwick Hearts,Estella,Vance,07453 943998,22/09/2003,Striker,15
121389,Dundee North,May,Thornton,07144 779842,06/05/1999,Defender,3
121725,Nairn Wanderers,Rosalind,Bradford,07733 727708,27/04/2005,Midfielder,9
128033,Hawick Hawks,Rae,Whitaker,07399 106242,02/09/2002,Midfielder,7
133596,Dundee North,Lynn,Jenkins,07542 544586,11/09/1998,Striker,12
133685,Oban United,Marsha,Jacobson,07968 655463,15/05/2000,Midfielder,8
137186,Stirling Speed,Leonor,Henry,07440 600065,05/08/1995,Midfielder,7
137369,Oban United,Wilda,Burke,07931 762606,15/05/1997,Defender,5
138355,Edinburgh Eagles,Susie,Cohen,07213 769317,02/11/1997,Midfielder,7
141003,Inverness Athletic,Nellie,Woodward,07953 659995,01/11/1997,Striker,12
141355,Nairn Wanderers,Elnora,Brock,07138 637692,22/01/2003,Midfielder,17
142374,Oban United,Gabriela,Kane,07314 856457,01/09/1994,Defender,18
142624,Glasgow Flyers,Susanne,Stanton,07503 911217,14/06/1995,Striker,13
144891,Oban United,Dorthy,Mckee,07370 326733,25/09/1997,Striker,12
147408,Dundee Tacklers,Jean,Nolan,07896 618250,06/04/1999,Goalkeeper,20
147599,Edinburgh Eagles,Tammie,Kramer,07984 486390,14/04/1997,Striker,14
148484,Stirling Speed,Francine,Richards,07774 912978,24/06/1991,Goalkeeper,20
148776,Inverness Athletic,Jackie,Richard,07308 286654,03/08/2002,Defender,2
157693,Dundee North,John,Leon,07118 356685,10/08/1996,Striker,14
159962,Nairn Wanderers,Shirley,Garner,07320 421164,22/04/2004,Striker,12
162000,Nairn Wanderers,Melinda,Brady,07274 756391,28/12/2002,Defender,2
165692,North Berwick Hearts,Kristie,Friedman,07165 486197,26/02/2004,Defender,19
167407,Hawick Hawks,Brittany,Odonnell,07651 770520,15/06/1997,Defender,6
167524,Dundee North,Yvonne,Osborn,07200 925116,15/04/2004,Defender,2
167549,Nairn Wanderers,Cathleen,Mcgee,07417 597932,06/05/2000,Striker,15
169193,Edinburgh Eagles,Elvira,Kirk,07966 736293,09/06/2003,Goalkeeper,20
181384,Portree Strikers,Mavis,Suarez,07220 300103,16/02/1999,Striker,15
191025,Hawick Hawks,Alexis,Wilcox,07590 565959,04/02/2002,Striker,13
192174,Aviemore Aces,Alexandra,Holden,07838 421581,06/07/1995,Defender,5
194767,Aviemore Aces,Mona,Pollard,07234 534316,26/11/2003,Defender,18
197950,Glasgow Flyers,Grace,Holt,07673 644400,27/06/2002,Defender,18
206906,Edinburgh Eagles,Emilia,Fuentes,07473 138651,02/09/2003,Goalkeeper,1
214082,Edinburgh Eagles,Natasha,Lutz,07677 390542,10/09/2005,Midfielder,8
219935,Hawick Hawks,Jacquelyn,Hughes,07448 713692,11/02/1994,Striker,12
223179,Edinburgh Eagles,Pearl,Stafford,07182 649011,15/03/1997,Defender,18
230406,Stirling Speed,Reyna,Brown,07670 462211,02/07/2000,Defender,3
233309,Dumfries City,Emily,Frank,07741 600754,21/04/1994,Midfielder,7
237287,Paisley City,Taylor,Burke,07288 356982,26/12/1997,Defender,6
241353,Paisley City,Patricia,Marshall,07563 525378,08/10/1997,Defender,3
242623,Glasgow Flyers,Ruth,Greene,07822 680980,09/09/2002,Goalkeeper,20
244956,North Berwick Hearts,Helga,Cunningham,07335 550840,08/12/1991,Defender,5
245712,Aberdeen Angels,Rosalind,Doyle,07418 820191,18/10/1993,Striker,13
249702,Oban United,Christy,House,07890 902267,22/11/1995,Striker,13
250101,North Berwick Hearts,Carolina,Sanford,07238 229667,22/10/1993,Goalkeeper,1
251655,Dundee Tacklers,Annabelle,Tyler,07742 606829,26/11/1994,Defender,6
255203,Oban United,Rene,Mercer,07592 192455,11/07/1996,Defender,19
263582,Hawick Hawks,Aurelia,Flowers,07823 110629,03/10/1995,Midfielder,8
264023,Aviemore Aces,Magdalena,Reeves,07190 781746,19/02/1994,Striker,12
264590,Nairn Wanderers,Lydia,Dean,07366 877957,28/04/1993,Defender,6
264896,Hawick Hawks,Robin,Rowland,07612 678933,21/07/1998,Midfielder,17
270755,Aberdeen Angels,Lela,Howard,07198 227499,16/08/2005,Striker,15
271141,Nairn Wanderers,Amparo,Krause,07826 182353,16/01/1995,Midfielder,7
271776,Hawick Hawks,Alissa,Rios,07346 476906,09/02/2000,Striker,11
279728,Dundee North,Mildred,Torres,07583 871495,27/03/1991,Striker,13
281975,Dundee Tacklers,Nita,Blackwell,07976 671038,04/11/1999,Striker,12
283042,Aviemore Aces,Kirsten,Mason,07579 534514,13/12/2000,Defender,19
285033,Paisley City,Tiffany,Baldwin,07176 564243,08/05/1996,Striker,11
287199,Dundee Tacklers,Isabella,Rasmussen,07870 812808,14/07/1992,Goalkeeper,1
287591,Paisley City,Tami,Le,07115 130408,17/08/1999,Goalkeeper,20
287853,Nairn Wanderers,Alejandra,Brennan,07382 441280,27/03/2003,Defender,4
293328,Aberdeen Angels,Dorothy,Burch,07909 305478,15/12/1997,Defender,6
294953,Nairn Wanderers,Nancy,Kent,07820 622714,20/09/2004,Striker,10
295604,Edinburgh Eagles,Lola,Mercado,07533 447224,08/12/2005,Midfielder,16
296117,Inverness Athletic,Lelia,Murphy,07740 567706,22/03/1999,Midfielder,8
297721,Stirling Speed,Carmen,Mcneil,07914 579574,06/03/2005,Striker,10
298917,Dundee North,Jayne,Nash,07758 443003,06/03/1995,Midfielder,8
310307,Inverness Athletic,Ofelia,Underwood,07796 861247,13/04/1995,Midfielder,16
310924,Hawick Hawks,Karin,Hinton,07989 776960,06/05/1991,Striker,15
317011,Oban United,Trina,Boyle,07677 367751,23/08/1999,Striker,15
317144,Hawick Hawks,Lorena,Leach,07142 881757,20/05/1992,Defender,4
318620,Paisley City,Cathleen,Calhoun,07407 474980,10/02/1992,Midfielder,9
319467,Dundee North,Carmela,Wright,07269 691793,21/07/2003,Midfielder,17
325211,Hawick Hawks,Rene,Olson,07267 773741,04/12/2003,Goalkeeper,1
325714,Dundee Tacklers,Adrienne,Ho,07726 178474,14/03/1991,Defender,19
332821,Oban United,Stefanie,Robinson,07613 754917,05/05/1991,Striker,10
333308,Aberdeen Angels,Shirley,Boyer,07294 965644,02/06/1995,Defender,19
335733,Dundee Tacklers,Barbara,King,07602 562219,02/03/2002,Midfielder,8
336780,Aberdeen Angels,Goldie,Fritz,07656 439957,28/09/2005,Midfielder,8
341907,Dumfries City,Maricela,Franklin,07218 258162,20/01/2001,Midfielder,16
343934,Stirling Speed,Selma,Morris,07878 638717,24/06/1998,Striker,12
347525,Oban United,Bernice,Newton,07223 737990,22/08/2001,Defender,4
347596,Glasgow Flyers,Penny,York,07769 401540,17/05/2003,Midfielder,7
349670,Oban United,Emily,Cameron,07564 630943,06/10/1998,Goalkeeper,1
352026,Oban United,Neva,Schmitt,07299 676855,17/05/1997,Defender,3
353825,Edinburgh Eagles,Shauna,Livingston,07404 338569,28/07/1997,Striker,15
354925,Aberdeen Angels,Nola,Moses,07329 459116,07/09/2001,Midfielder,17
356107,Dumfries City,Selma,Marks,07846 534912,19/05/1997,Defender,19
367145,Aviemore Aces,Herminia,Mcclure,07335 237996,16/01/2002,Midfielder,16
372166,Edinburgh Eagles,Noreen,Glass,07561 215354,10/05/2003,Defender,4
376579,North Berwick Hearts,Jean,Preston,07108 856234,20/02/1991,Defender,2
378185,Nairn Wanderers,Colleen,Lane,07633 235992,14/06/1997,Midfielder,8
380985,Aberdeen Angels,Katherine,Hawkins,07404 509498,06/01/2002,Midfielder,9
381822,Glasgow Flyers,Kerry,Petty,07711 456995,08/10/2005,Defender,3
383638,Stirling Speed,Alejandra,Baxter,07471 597301,04/06/1993,Defender,4
385474,Stirling Speed,Marsha,Eaton,07682 143360,17/07/1996,Defender,5
386248,Aberdeen Angels,Celia,Madden,07157 259340,10/04/1992,Striker,14
390318,Portree Strikers,Vicky,Keller,07759 115690,14/05/2005,Defender,18
392937,Paisley City,Rosalyn,Stewart,07131 270777,19/02/1999,Striker,10
396907,Aviemore Aces,Aida,Li,07670 470200,18/09/1992,Striker,13
398233,Dundee North,Alfreda,Duran,07536 142172,05/04/2001,Defender,19
403731,Stirling Speed,Jasmine,Mccormick,07410 904120,01/07/1993,Midfielder,17
408884,Stirling Speed,Marjorie,Garner,07682 555160,20/09/1991,Goalkeeper,1
409396,Oban United,Concetta,Boyd,07170 877582,07/01/1993,Midfielder,16
413358,Dundee Tacklers,Raquel,Wheeler,07948 457875,10/12/1998,Midfielder,16
